가맹번호,지역,업종,상호,소재지,위도,경도,기준일자
1559,옥포동,도소매,덕산훼미리마트,경상남도 거제시 옥포동 305，104호(옥포동，덕산아파트4차상가),34.90022586,128.6856265,2021-09-16
1564,고현동,도소매,고현산업,경상남도 거제시 중곡로3길 22-4(고현동),34.89435329,128.6281151,2021-09-16
1568,옥포동,도소매,유진낚시,경상남도 거제시 국산1길 1 (옥포동),34.89638278,128.6924766,2021-09-16
1570,옥포동,주유소,동백주유소,경상남도 거제시 옥포대첩 343(옥포동),34.89507204,128.6931111,2021-09-16
1571,고현동,도소매,새독일약국,경상남도 거제시 거제중앙로 1843(고현동),34.88305304,128.6255675,2021-09-16
1577,고현동,도소매,GS25 거제중곡점,경상남도 거제시 중곡로3길 41(고현동),34.89351697,128.6259752,2021-09-16
1585,고현동,도소매,뷰티하우스,경상남도 거제시 고현동 6길 11(고현동),34.89257222,128.6238784,2021-09-16
1587,고현동,도소매,기부나눔마켓리본,경상남도 거제시 서문로 65-1(고현동),34.89030663,128.6226906,2021-09-16
1588,연초면,이미용,연초이용원,경상남도 거제시 연초면 거제북로 42-2，1층,34.91446178,128.6559563,2021-09-16
1589,고현동,도소매,㈜대성자동차판매,경상남도 거제시 거제대로 4594 (고현동),34.89272496,128.6344046,2021-09-16
1590,수양동,도소매,창우식품,경상남도 거제시 수양1길 62-1(수월동),34.89126851,128.652358,2021-09-16
1591,고현동,도소매,대어수산,경상남도 거제시 고현동 93-1(고현동),34.88621048,128.6251211,2021-09-16
1594,능포동,도소매,장승포농협 옥수동지점,경상남도 거제시 능포로 138(능포동),34.87593117,128.731968,2021-09-16
1596,능포동,제조업,서울방앗간,경상남도 거제시 능포로 134-2，C동 102호 (능포동，옥명시 장),34.8753996,128.7319195,2021-09-16
1598,옥포동,일반음식점,큰손조개찜,경상남도 거제시 옥포성안로4길 30，1층 (옥포동),34.88184762,128.6215655,2021-09-16
1606,거제면,도소매,다모아신발,경상남도 거제시 거제면 서정리 704,34.85046336,128.5880199,2021-09-16
1607,옥포동,도소매,강남25시편의점,경상남도 거제시 옥포대첩로2길 56，101(옥포동，부전연립),34.88911108,128.6919341,2021-09-16
1609,사등면,도소매,거제삼성충전소,경상남도 거제시 사등면 거제대로 5189-19,34.89716936,128.5708798,2021-09-16
1611,옥포동,도소매,장승포농협국산지점,경상남도 거제시 옥포동 1884,34.89720479,128.6890151,2021-09-16
1613,연초면,주유소,보성주유소,경상남도 거제시 연초면 연하해안로 490,34.91672191,128.6204718,2021-09-16
1619,하청면,도소매,미니스톱거제하청점,경상남도 거제시 하청면 거제북로 571,34.95870685,128.6556743,2021-09-16
1620,아주동,도소매,씨유거제아주행복한점,경상남도 거제시 아주1길 22(아주동),34.86565212,128.695587,2021-09-16
1621,옥포동,도소매,옥문당문고,경상남도 거제시 옥포동 265 (옥포동),34.89507204,128.6931111,2021-09-16
1624,옥포동,도소매,중앙장식,경상남도 거제시 옥포로20길 3 (옥포동),34.89451469,128.6912574,2021-09-16
1630,장승포동,도소매,육대박,경상남도 거제시 장승포동 11(장승포동),34.86730701,128.7359711,2021-09-16
1635,고현동,휴게음식,커피앤플라워,경상남도 거제시 계룡로 128(고현동),34.88117804,128.6220527,2021-09-16
1636,상문동,도소매,한샘씽크거제,경상남도 거제시 거제중앙로 1711(상동동),34.87286325,128.633136,2021-09-16
1645,사등면,일반음식점,복조가든,경상남도 거제시 사등면 사곡1길 31,34.90084093,128.5626113,2021-09-16
1648,옥포동,이미용,도로시헤어갤러리,경상남도 거제시 성산로4길 15，상가동 103호(옥포동，협동아름아파트),34.89730712,128.6979222,2021-09-16
1651,장승포동,일반음식점,오참치,경상남도 거제시 신부로 29，107，108호 (장승포동),34.86926525,128.7311541,2021-09-16
1653,고현동,휴게음식,킹콩쥬스엔청춘핫도그거제고현점,경상남도 거제시 중곡로40，26동 1층 113층 (고현동),34.89626152,128.6304055,2021-09-16
1654,연초면,도소매,㈜ K.T.M,경상남도 거제시 연초면 효촌길 10-1,34.90294511,128.6468153,2021-09-16
1656,상문동,이미용,삼오미용실,경상남도 거제시 거제중앙로 1509-13(문동동，삼오르네상스),34.85783569,128.645127,2021-09-16
1658,장평동,일반음식점,호시탐탐,경상남도 거제시 장평3로2길 29，1층 (장평동),34.88184762,128.6215655,2021-09-16
1659,상문동,교육서비스,오르다샘앤클래스 거제상문학원,경상남도 거제시 상동3길 3，4층 (상동동),34.86819124,128.6370376,2021-09-16
1663,고현동,이미용,공작미용실,경상남도 거제시 고현동 809-4,34.88604533,128.622177,2021-09-16
1664,상문동,도소매,코코아울렛 (COCO OUTLET),경상남도 거제시 거제중앙로 1767，1층 1호 (상동동),34.87685917,128.6292068,2021-09-16
1665,고현동,도소매,귀금당,경상남도 거제시 고현동 121，109(고현동，한양훼미리상가),34.88476261,128.6244428,2021-09-16
1667,상문동,도소매,민희농장(성포계란),경상남도 거제시 문동동 401-2,34.86453633,128.6496855,2021-09-16
1668,옥포동,이미용,아이린헤어,경상남도 거제시 옥포대첩로5길 13，101 (옥포동),34.89490776,128.6918843,2021-09-16
1669,고현동,이미용,미소진헤어갤러리,경상남도 거제시 거제중앙로 1866-1(고현동，2층),34.88501225,128.6249807,2021-09-16
1671,옥포동,도소매,연분,경상남도 거제시 옥포동 160，1층 (옥포동),34.89047286,128.694987,2021-09-16
1675,사등면,서비스,화양카센타,경상남도 거제시 사등면 성포로 73,34.91684079,128.5205092,2021-09-16
1677,수양동,도소매,펫엔켓,경상남도 거제시 수양로 488，1층 3호,34.89144505,128.6378083,2021-09-16
1679,수양동,일반음식점,교촌치킨,경상남도 거제시 제산로 2-5(양정동),34.89082215,128.6362608,2021-09-16
1682,장승포동,일반음식점,퍼스트비어 장승포점,경상남도 거제시 장승포로2길 9 (장승포동),34.86759962,128.7263049,2021-09-16
1698,고현동,도소매,사고뭉치,경상남도 거제시 거제중앙로 1906(고현동，한라프라자),34.88820174,128.6235608,2021-09-16
1699,아주동,도소매,일구팔이(1982),경상남도 거제시 아주로 63，112동 103호 (아주동),34.86436252,128.6877671,2021-09-16
1703,고현동,도소매,시크릿,경상남도 거제시 거제중앙로 1906(고현동，한라프라자),34.88820174,128.6235608,2021-09-16
1705,고현동,도소매,현아패션,경상남도 거제시 고현로8길 14 (고현동),34.88547029,128.623562,2021-09-16
1712,고현동,도소매,깃털뜨개방,경상남도 거제시 거제중앙로 1906(고현동，한라프라자),34.88820174,128.6235608,2021-09-16
1713,장평동,이미용,좋은예감,경상남도 거제시 장평3로3길 25(장평동，장평동코아루아파트),34.88184762,128.6215655,2021-09-16
1714,장승포동,도소매,아파트식육점,경상남도 거제시 마전1길 30-2 (장승포동),34.85328042,128.7209188,2021-09-16
1715,옥포동,일반음식점,편한밥상,경상남도 거제시 성산로 52，2층 201호 (옥포동，혜성아파트상가동),34.90090275,128.6965631,2021-09-16
1720,아주동,도소매,꽃돼지(꽃집),경상남도 거제시 거제대로 3443(아주동),34.86722166,128.6938393,2021-09-16
1723,고현동,일반음식점,생면사무소,경상남도 거제시 중곡로7길 10(고현동),34.89677297,128.6291292,2021-09-16
1725,연초면,도소매,신거제식품(거제오뚜기),경상남도 거제시 연초면 거제북로 26(연초농협지하1층),34.91352903,128.6550733,2021-09-16
1726,고현동,휴게음식,블랙빈,경상남도 거제시 거제중앙로26길 17(고현동，1층),34.88956679,128.6245667,2021-09-16
1727,고현동,도소매,거제지사,경상남도 거제시 중곡로5길 22(고현동),34.89617553,128.6278664,2021-09-16
1728,일운면,도소매,농업회사법인둘래야주식회사,경상남도 거제시 일운면 구조라리 455,34.80850516,128.6929196,2021-09-16
1729,사등면,도소매,거제바다영어조합법인,경상남도 거제시 사등면 가조로 692,34.96279822,128.5140003,2021-09-16
1732,수양동,일반음식점,㈜대기공업온긔당,경상남도 거제시 고현동 138-77 (양정동),34.88310741,128.6237629,2021-09-16
1734,고현동,도소매,아디다스키즈거제점,경상남도 거제시 거제중앙로 1884，102호(고현동),34.88641308,128.6242912,2021-09-16
1739,고현동,일반음식점,문어본가,경상남도 거제시 고현로11길 12(고현동，1층),34.88849206,128.6249524,2021-09-16
1744,고현동,도소매,시니컬토스트,경상남도 거제시 거제중앙로24길 9(고현동),34.88863263,128.6239141,2021-09-16
1747,장승포동,도소매,한려건어물,경상남도 거제시 장승포동 698-2,34.86763604,128.727749,2021-09-16
1753,일운면,일반음식점,아이니,경상남도 거제시 일운면 마전1길 91,34.84943644,128.7275884,2021-09-16
1755,거제면,일반음식점,장모님치킨(거제점),경상남도 거제시 거제면 읍내로 27,34.84919681,128.5926474,2021-09-16
1761,장평동,서비스,ESPN 당구클럽,경상남도 거제시 장평동4로 64，401(장평동，수호빌),34.88184762,128.6215655,2021-09-16
1764,장평동,도소매,중앙오토바이,경상남도 거제시 장평1로 167 (장평동),34.88184762,128.6215655,2021-09-16
1766,장평동,도소매,행복한집,경상남도 거제시 장평동 37，254호(장평동，장평동종합상가),34.89170216,128.6106225,2021-09-16
1767,장평동,일반음식점,남원추어탕,경상남도 거제시 장평3로7길 38(장평동),34.88184762,128.6215655,2021-09-16
1768,일운면,도소매,일운농약,경상남도 거제시 일운면 지세포리 927-6,34.82959157,128.7037229,2021-09-16
1771,고현동,도소매,럭셔리,경상남도 거제시 고현로6길 19(고현동，행복한하루 101호),34.88471404,128.6233703,2021-09-16
1772,아주동,도소매,우주상사,경상남도 거제시 용소4길 20 (아주동),34.87586239,128.6898539,2021-09-16
1787,장평동,일반음식점,산촌삼계탕,경상남도 거제시 장평1로 162(장평동),34.88184762,128.6215655,2021-09-16
1794,고현동,도소매,건강약국,경상남도 거제시 고현동 89-1(고현동),34.88648598,128.625889,2021-09-16
1796,장평동,이미용,미끄헤어,경상남도 거제시 장평2로 19，111/104(장평동，덕산아내1차상가),34.88184762,128.6215655,2021-09-16
1806,연초면,도소매,태조낚시,경상남도 거제시 연초면 송정리 210-1,34.90964675,128.6807149,2021-09-16
1808,고현동,도소매,제일농약종묘사,경상남도 거제시 고현동 85 (고현동),34.88571501,128.6268021,2021-09-16
1810,고현동,일반음식점,베스킨라빈스 거제고현점,경상남도 거제시 고현동 99(고현동),34.88597683,128.6232267,2021-09-16
1813,장평동,일반음식점,거제곱창전골,경상남도 거제시 장평로4길 2(장평동),34.89147566,128.6144173,2021-09-16
1814,사등면,도소매,거제종합가구,경상남도 거제시 사등면 거제대로 5294,34.9006889,128.5623476,2021-09-16
1821,고현동,도소매,에이미트수입육직판장,경상남도 거제시 고현동 817-13,34.88641983,128.6229784,2021-09-16
1822,고현동,일반음식점,천계안동찜닭전문점,경상남도 거제시 거제중앙로17길 18，A동 1층 (고현동),34.88449961,128.6229967,2021-09-16
1823, 옥포동,도소매,장미생화마을,경상남도 거제시 옥포로20길 8 (옥포동),34.89432365,128.6915621,2021-09-16
1825,고현동,주유소,계룡석유,경상남도 거제시 거제중앙로 1806(고현동),34.87995039,128.6276224,2021-09-16
1829,옥포동,도소매,안경이야기,경상남도 거제시 옥포동 1294-5,34.89685125,128.6893622,2021-09-16
1832,수양동,일반음식점,베스킨라빈스 거제수월점,경상남도 거제시 수월동 1124-2,34.89242834,128.6410981,2021-09-16
1838,장평동,일반음식점,묵호산오징어,경상남도 거제시 장평1로 142-1,34.88184762,128.6215655,2021-09-16
1839,장평동,도소매,세븐일레븐 거제장평원룸점,경상남도 거제시 장평2로2길 37-2(장평동，에이스빌),34.88184762,128.6215655,2021-09-16
1843,옥포동,이미용,블루클럽(옥포동점),경상남도 거제시 옥포대첩 45，7호(옥포동，건웅데파트),34.89414676,128.6925453,2021-09-16
1845,옥포동,일반음식점,전과빈대떡,경상남도 거제시 성산로 13，B동 9，14호 (옥포동),34.89752683,128.6957686,2021-09-16
1848,옥포동,도소매,중앙메리야스,경상남도 거제시 옥포동 525-12,34.89441953,128.6905563,2021-09-16
1850,장승포동,일반음식점,장승포양꼬치,경상남도 거제시 장승포동 13(장승포동),34.86770237,128.7361824,2021-09-16
1851,일운면,휴게음식,달콤커피거제도점,경상남도 거제시 일운면 소동6길 17-3，상가 101,34.84250924,128.7006731,2021-09-16
1852,상문동,도소매,고현식자재마트,경상남도 거제시 상동3길 24(상동동),34.86678702,128.636644,2021-09-16
1855,수양동,서비스,금호카부분정비,경상남도 거제시 해명로 3(수월동),34.89646758,128.6426723,2021-09-16
1856,아주동,도소매,씨유거제아주반딧불점,경상남도 거제시 아주1로3길 41 1층,34.86536063,128.6897988,2021-09-16
1858,연초면,도소매,제일종합주방,경상남도 거제시 연초면 죽토로 13,34.91431251,128.6568853,2021-09-16
1860,옥포동,일반음식점,옛날돼지국밥,경상남도 거제시 국산2길 9(옥포동),34.89701019,128.69153,2021-09-16
1863,옥포동,도소매,애플,경상남도 거제시 옥포동 22길 4,34.89507204,128.6931111,2021-09-16
1864,장평동,도소매,보생당약국,경상남도 거제시 장평로8길 30(장평동),34.89300523,128.6096366,2021-09-16
1868,일운면,도소매,주공썬마트,경상남도 거제시 일운면 거제대로 2591，상가동 103，104호,34.8374585,128.6964098,2021-09-16
1869,고현동,도소매,라이브,경상남도 거제시 거제중앙로 1893(고현동，대금산빌딩 103호),34.88713867,128.6234324,2021-09-16
1870,하청면,도소매,델리씨,경상남도 거제시 하청면 실전리 857-2,34.96561535,128.6517106,2021-09-16
1873,고현동,도소매,굿아이 안경,경상남도 거제시 거제중앙로 25길 4，101(고현동，유신빌딩 1층),34.88838562,128.622862,2021-09-16
1874,고현동,도소매,밴키즈거제통영점,경상남도 거제시 중곡2로 10(고현동),34.89521678,128.6267431,2021-09-16
1875,아주동,주유소,장승포농협주유소,경상남도 거제시 아주동 607-4번지,34.87212671,128.6904898,2021-09-16
1880,옥포동,제조업,의성떡집,경상남도 거제시 옥포로19길 6,34.89434903,128.6902713,2021-09-16
1883,수양동,도소매,시민가스,경상남도 거제시 양정1길 16(양정동),34.86693647,128.6475826,2021-09-16
1886,옥포동,도소매,한빛농산,경상남도 거제시 옥포로19길8(옥포동),34.89443252,128.6898562,2021-09-16
1890,옥포동,일반음식점,라라코스트,경상남도 거제시 옥포대첩로62(옥포동，2층),34.89355941,128.6943675,2021-09-16
1892,사등면,도소매,거제 수산물 직판장,경상남도 거제시 사등면 거제대로 5460,34.90819494,128.5472867,2021-09-16
1895,장평동,도소매,씨유 장평스마일,경상남도 거제시 장평1로 176，103(장평동，태완노블리안상가1층),34.88184762,128.6215655,2021-09-16
1897,고현동,도소매,경주상회,경상남도 거제시 고현로8길 6-3(고현동),34.88600539,128.6229315,2021-09-16
1898,고현동,도소매,단골한우전문점,경상남도 거제시 거제중앙로 1889(고현동),34.88665934,128.6237351,2021-09-16
1903,고현동,이미용,게으른요가,경상남도 거제시 중곡로 13(고현동，성서상가 403호),34.8938292,128.6300914,2021-09-16
1910,옥포동,도소매,세븐일레븐(옥포동해안점),경상남도 거제시 옥포로4길 32-1(옥포동),34.8916254,128.696791,2021-09-16
1911, 고현동,일반음식점,동키치킨,경상남도 거제시 서문로3길 12(고현동),34.8893159,128.6189961,2021-09-16
1914,상문동,주유소,민들레주유소,경상남도 거제시 거제중앙로 1619(상동동),34.86654624,128.6395733,2021-09-16
1917,고현동,휴게음식,정항우케익 거제중곡점,경상남도 거제시 중곡로7길 12，가동 1층 (고현동),34.89699685,128.6276757,2021-09-16
1921,고현동,도소매,미치코런던 학생복거제점,경상남도 거제시 고현천로 84(고현동),34.88184762,128.6215655,2021-09-16
1923,고현동,도소매,이마트24 거제운동장점,경상남도 거제시 계룡로166,34.88428009,128.620096,2021-09-16
